channels,dataset,feature_dim,path,run,subject,target_dim,target_kind,windows
59,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-01_ses-01_rest.npz,sub-01_ses-01_rest,sub-01,100,schaefer100,282
60,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-02_ses-01_rest.npz,sub-02_ses-01_rest,sub-02,100,schaefer100,283
56,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-03_ses-01_rest.npz,sub-03_ses-01_rest,sub-03,100,schaefer100,280
58,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-04_ses-01_rest.npz,sub-04_ses-01_rest,sub-04,100,schaefer100,283
58,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-05_ses-01_rest.npz,sub-05_ses-01_rest,sub-05,100,schaefer100,256
51,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-06_ses-01_rest.npz,sub-06_ses-01_rest,sub-06,100,schaefer100,280
56,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-07_ses-01_rest.npz,sub-07_ses-01_rest,sub-07,100,schaefer100,283
60,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-08_ses-01_rest.npz,sub-08_ses-01_rest,sub-08,100,schaefer100,265
45,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-09_ses-01_rest.npz,sub-09_ses-01_rest,sub-09,100,schaefer100,234
61,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-10_ses-01_rest.npz,sub-10_ses-01_rest,sub-10,100,schaefer100,250
60,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-11_ses-01_rest.npz,sub-11_ses-01_rest,sub-11,100,schaefer100,272
57,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-12_ses-01_rest.npz,sub-12_ses-01_rest,sub-12,100,schaefer100,271
50,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-13_ses-01_rest.npz,sub-13_ses-01_rest,sub-13,100,schaefer100,280
61,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-14_ses-01_rest.npz,sub-14_ses-01_rest,sub-14,100,schaefer100,272
60,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-15_ses-01_rest.npz,sub-15_ses-01_rest,sub-15,100,schaefer100,261
54,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-16_ses-01_rest.npz,sub-16_ses-01_rest,sub-16,100,schaefer100,247
55,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-17_ses-01_rest.npz,sub-17_ses-01_rest,sub-17,100,schaefer100,237
56,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-18_ses-01_rest.npz,sub-18_ses-01_rest,sub-18,100,schaefer100,281
46,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-19_ses-01_rest.npz,sub-19_ses-01_rest,sub-19,100,schaefer100,193
58,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-20_ses-01_rest.npz,sub-20_ses-01_rest,sub-20,100,schaefer100,283
60,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-21_ses-01_rest.npz,sub-21_ses-01_rest,sub-21,100,schaefer100,235
59,natview,600,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-22_ses-01_rest.npz,sub-22_ses-01_rest,sub-22,100,schaefer100,283
